district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr,nearest_city,property_type,house_size_sqft,house_age,condition,furnishing_status,road_access_width_ft,distance_to_main_road_km,distance_to_town_km,has_boundary_wall,has_servant_room,has_hot_water,has_security,roof_type,floor_type,listed_year,price_per_perch,bathroom_bedroom_ratio,luxury_score,location_category,house_selling_price_lkr
Hambantota,Hambantota Town,2,3,3,35,0,FALSE,FALSE,Both,Three phase,1,2017,3641135,Hambantota,House,1230,9,Good,Semi furnished,10,4.81,7.05,FALSE,FALSE,FALSE,FALSE,Tile,Tile,2026,1820568,1,2,Semi-urban,12744000
Polonnaruwa,Polonnaruwa Central,3,2,2,38,3,TRUE,FALSE,Both,Three phase,1,1987,4961885,Polonnaruwa,House,1220,39,Needs renovation,Unfurnished,12,1.32,1.02,FALSE,FALSE,TRUE,FALSE,Concrete slab,Cement,2025,1653962,1,6,Semi-urban,7872000
Hambantota,Hambantota Town,11,5,4,139,2,TRUE,TRUE,Both,Three phase,2,2010,16148863,Hambantota,House,2570,16,Average,Semi furnished,15,5.34,7.37,TRUE,TRUE,TRUE,FALSE,Concrete slab,Granite,2026,1468078,0.8,9,Semi-urban,40669000
Puttalam,Puttalam Central,10,5,5,129,1,TRUE,TRUE,Pipe-borne,Three phase,2,2007,12953402,Puttalam,House,2520,19,Average,Unfurnished,25,0.84,1.75,TRUE,FALSE,TRUE,FALSE,Concrete slab,Cement,2023,1295340,1,7,Semi-urban,30724000
Matale,Matale Central,11,4,3,67,1,FALSE,FALSE,Well,Single phase,1,1990,11191478,Matale,House,2140,36,Needs renovation,Semi furnished,20,5.17,3.25,TRUE,FALSE,FALSE,FALSE,Tile,Cement,2024,1017407,0.75,3,Semi-urban,18995000
Polonnaruwa,Polonnaruwa Central,37,7,5,250,1,TRUE,TRUE,Pipe-borne,Single phase,2,2021,38660991,Polonnaruwa,House,3400,5,Good,Semi furnished,12,3.03,2.46,TRUE,TRUE,TRUE,FALSE,Concrete slab,Granite,2025,1044892,0.71,7,Semi-urban,64251000
Vavuniya,Vavuniya Central,31,5,5,250,1,FALSE,FALSE,Both,Single phase,3,2023,35621391,Vavuniya,House,3280,3,New,Fully furnished,20,7.63,8.09,FALSE,TRUE,TRUE,TRUE,Concrete slab,Granite,2025,1149077,1,5,Rural,66836000
Ratnapura,Ratnapura Town,3,2,1,35,1,TRUE,FALSE,Both,Three phase,1,2005,3367764,Ratnapura,House,940,21,Average,Unfurnished,12,4.76,6.56,FALSE,TRUE,FALSE,FALSE,Tile,Tile,2023,1122588,0.5,3,Semi-urban,9691000
Kilinochchi,Kilinochchi Central,2,1,1,57,1,FALSE,TRUE,Well,Three phase,2,2008,3100467,Kilinochchi,House,800,18,Average,Unfurnished,10,5.64,10.27,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2026,1550234,1,5,Rural,7269000
Ratnapura,Pelmadulla,12,6,5,134,2,FALSE,TRUE,Both,Single phase,1,2013,13965760,Ratnapura,House,2850,13,Average,Semi furnished,10,5.17,11.69,TRUE,FALSE,FALSE,FALSE,Asbestos,Granite,2025,1163813,0.83,6,Semi-urban,38067000
Kandy,Kandy City,6,3,3,35,0,FALSE,TRUE,Both,Single phase,1,2013,9217194,Kandy,House,1460,13,Average,Unfurnished,25,2.44,4.09,TRUE,FALSE,TRUE,FALSE,Asbestos,Terrazzo,2026,1536199,1,4,Urban,20893000
Mannar,Mannar Central,10,4,3,99,0,FALSE,FALSE,Both,Single phase,2,2016,9803312,Mannar,House,2100,10,Good,Fully furnished,10,6.76,9.5,TRUE,TRUE,FALSE,FALSE,Tile,Cement,2026,980331,0.75,3,Rural,25369000
Kilinochchi,Kilinochchi Central,17,7,5,168,2,TRUE,FALSE,Pipe-borne,Three phase,2,1996,18607482,Kilinochchi,Villa,3460,30,Needs renovation,Unfurnished,15,8.75,7.75,TRUE,FALSE,FALSE,FALSE,Asbestos,Terrazzo,2023,1094558,0.71,5,Rural,27311000
Gampaha,Ja-Ela,8,5,4,74,0,FALSE,FALSE,Well,Single phase,1,2023,12456054,Gampaha,House,2190,3,New,Fully furnished,20,1.53,1.86,TRUE,FALSE,TRUE,FALSE,Tile,Tile,2023,1557007,0.8,4,Urban,43596000
Ampara,Ampara Central,10,3,3,101,0,TRUE,FALSE,Both,Single phase,2,1993,10655693,Ampara,House,1970,33,Needs renovation,Unfurnished,20,5.54,15.23,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2024,1065569,1,3,Rural,14424000
Badulla,Bandarawela,21,6,5,246,2,TRUE,FALSE,Well,Three phase,2,2023,29116082,Badulla,Bungalow,3300,3,New,Unfurnished,15,2.13,8.67,TRUE,FALSE,FALSE,FALSE,Tile,Wood,2023,1386480,0.83,5,Semi-urban,61757000
Anuradhapura,Nuwaragam Palatha,25,4,4,250,1,TRUE,FALSE,Both,Single phase,3,2009,32001823,Anuradhapura,Bungalow,2760,17,Average,Semi furnished,15,3.4,8.2,TRUE,TRUE,TRUE,FALSE,Concrete slab,Tile,2025,1280073,1,5,Semi-urban,47205000
Jaffna,Jaffna Town,10,5,4,107,1,TRUE,TRUE,Both,Three phase,2,1987,13655226,Jaffna,House,2620,39,Needs renovation,Unfurnished,30,1.59,0.65,TRUE,TRUE,FALSE,TRUE,Concrete slab,Cement,2023,1365523,0.8,7,Urban,23107000
Trincomalee,Nilaveli,9,4,3,39,1,FALSE,FALSE,Well,Single phase,1,2001,8504760,Trincomalee,House,2070,25,Average,Unfurnished,12,4.09,5.22,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2026,944973,0.75,2,Semi-urban,20697000
Colombo,Narahenpita,2,3,2,61,1,FALSE,TRUE,Well,Single phase,1,1989,7310084,Colombo,House,1440,37,Needs renovation,Semi furnished,12,1.44,4.6,TRUE,FALSE,TRUE,FALSE,Tile,Tile,2024,3655042,0.67,6,Urban,22536000
Monaragala,Monaragala Central,12,4,4,153,0,TRUE,TRUE,Well,Three phase,2,1990,14849576,Monaragala,House,2430,36,Needs renovation,Semi furnished,12,8.3,10.58,FALSE,FALSE,FALSE,FALSE,Tile,Cement,2024,1237465,1,5,Rural,20510000
Trincomalee,Uppuveli,12,5,5,127,0,TRUE,TRUE,Pipe-borne,Single phase,1,1988,17118055,Trincomalee,House,2480,38,Needs renovation,Semi furnished,10,2.18,10.82,TRUE,FALSE,TRUE,FALSE,Asbestos,Cement,2024,1426505,1,6,Semi-urban,24864000
Matale,Matale Central,2,3,3,37,2,FALSE,FALSE,Pipe-borne,Three phase,2,2007,5019219,Matale,House,1480,19,Average,Semi furnished,15,2.6,10.95,FALSE,FALSE,FALSE,FALSE,Concrete slab,Terrazzo,2023,2509610,1,4,Semi-urban,14455000
Kandy,Peradeniya,4,3,2,35,0,FALSE,TRUE,Pipe-borne,Three phase,1,2022,9262954,Kandy,House,1390,4,Good,Semi furnished,25,1.86,4.04,TRUE,FALSE,TRUE,TRUE,Concrete slab,Cement,2025,2315738,0.67,7,Urban,22864000
Batticaloa,Batticaloa Town,11,2,2,117,0,TRUE,FALSE,Both,Single phase,1,1986,12437702,Batticaloa,House,1480,40,Needs renovation,Unfurnished,25,8.86,12.08,TRUE,FALSE,TRUE,FALSE,Asbestos,Cement,2026,1130700,1,3,Rural,13399000
Vavuniya,Vavuniya Central,9,3,2,74,0,TRUE,FALSE,Well,Single phase,1,1987,7996775,Vavuniya,House,1560,39,Needs renovation,Semi furnished,12,3.95,15.94,TRUE,FALSE,TRUE,TRUE,Asbestos,Cement,2023,888531,0.67,5,Rural,11784000
Galle,Unawatuna,2,3,2,36,1,FALSE,TRUE,Well,Three phase,2,2010,4343964,Galle,House,1640,16,Average,Fully furnished,25,0.17,1.39,FALSE,FALSE,TRUE,TRUE,Concrete slab,Tile,2026,2171982,0.67,8,Urban,15204000
Matara,Matara Town,14,7,5,187,3,TRUE,TRUE,Both,Single phase,2,2006,26960611,Matara,House,3470,20,Average,Fully furnished,12,1.56,3.79,FALSE,FALSE,TRUE,TRUE,Asbestos,Tile,2024,1925758,0.71,10,Urban,58665000
Polonnaruwa,Polonnaruwa Central,31,6,5,247,2,FALSE,TRUE,Well,Single phase,2,1999,30619562,Polonnaruwa,Bungalow,3470,27,Needs renovation,Semi furnished,20,3.99,4.32,FALSE,FALSE,TRUE,TRUE,Asbestos,Tile,2025,987728,0.83,7,Semi-urban,44048000
Ampara,Ampara Central,12,3,2,116,1,FALSE,FALSE,Pipe-borne,Single phase,1,2020,13232214,Ampara,House,1590,6,Good,Unfurnished,30,7.67,4.79,TRUE,FALSE,FALSE,FALSE,Asbestos,Tile,2025,1102684,0.67,2,Rural,21966000
Vavuniya,Vavuniya Central,6,4,3,69,0,FALSE,FALSE,Pipe-borne,Three phase,1,2017,6213452,Vavuniya,House,1900,9,Good,Unfurnished,15,4.99,17.04,TRUE,FALSE,FALSE,FALSE,Concrete slab,Cement,2025,1035575,0.75,2,Rural,17926000
Mullaitivu,Mullaitivu Central,8,1,1,103,1,FALSE,FALSE,Pipe-borne,Single phase,2,2022,10441484,Mullaitivu,House,1170,4,Good,Semi furnished,15,5.21,8.53,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2026,1305186,1,4,Rural,16149000
Puttalam,Puttalam Central,35,7,5,250,2,TRUE,FALSE,Well,Single phase,2,2022,33062592,Puttalam,Villa,3620,4,Good,Semi furnished,15,4.29,8.6,TRUE,FALSE,TRUE,FALSE,Concrete slab,Cement,2025,944645,0.71,6,Semi-urban,68005000
Ampara,Ampara Central,50,4,3,250,1,FALSE,FALSE,Both,Single phase,2,1995,41428803,Ampara,House,2680,31,Needs renovation,Semi furnished,12,8.97,12.36,TRUE,TRUE,TRUE,FALSE,Concrete slab,Cement,2024,828576,0.75,4,Rural,41097000
Kalutara,Panadura,8,3,3,69,2,FALSE,FALSE,Well,Three phase,1,2021,10243978,Kalutara,House,1780,5,Good,Semi furnished,15,1.52,3.85,FALSE,FALSE,TRUE,TRUE,Concrete slab,Tile,2024,1280497,1,6,Urban,30246000
Puttalam,Puttalam Central,13,5,4,116,2,TRUE,FALSE,Well,Single phase,1,2022,15351277,Puttalam,House,2380,4,Good,Unfurnished,10,3.27,8.67,FALSE,FALSE,FALSE,FALSE,Tile,Tile,2025,1180867,0.8,3,Semi-urban,34042000
Badulla,Hali Ela,2,3,2,39,0,TRUE,FALSE,Pipe-borne,Three phase,2,1999,2597156,Badulla,House,1300,27,Needs renovation,Semi furnished,10,4.81,2.25,TRUE,FALSE,FALSE,TRUE,Asbestos,Cement,2026,1298578,0.67,5,Semi-urban,8851000
Badulla,Hali Ela,14,7,5,159,1,FALSE,FALSE,Pipe-borne,Three phase,1,1994,18306431,Badulla,House,3290,32,Needs renovation,Unfurnished,12,3.53,9.7,TRUE,FALSE,FALSE,FALSE,Asbestos,Tile,2026,1307602,0.71,3,Semi-urban,28295000
Badulla,Hali Ela,8,2,1,80,1,TRUE,TRUE,Pipe-borne,Single phase,2,1989,10830571,Badulla,House,1530,37,Needs renovation,Unfurnished,15,1,9.39,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2023,1353821,0.5,6,Semi-urban,15417000
Batticaloa,Batticaloa Town,3,1,1,35,1,TRUE,FALSE,Well,Single phase,2,1989,4211538,Batticaloa,House,750,37,Needs renovation,Semi furnished,15,6.8,14.95,FALSE,FALSE,FALSE,FALSE,Asbestos,Tile,2025,1403846,1,3,Rural,5270000
Galle,Karapitiya,12,4,3,130,2,FALSE,FALSE,Pipe-borne,Single phase,1,2024,21622710,Galle,House,2320,2,New,Fully furnished,12,0.74,0.88,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2024,1801892,0.75,5,Urban,54288000
Mannar,Mannar Central,5,3,3,52,1,TRUE,FALSE,Both,Three phase,1,2008,3512891,Mannar,House,1570,18,Average,Unfurnished,10,5.25,11.39,TRUE,FALSE,FALSE,FALSE,Asbestos,Terrazzo,2023,702578,1,4,Rural,12295000
Polonnaruwa,Polonnaruwa Central,5,3,2,51,2,TRUE,TRUE,Both,Three phase,1,2016,7452919,Polonnaruwa,House,1610,10,Good,Semi furnished,20,0.6,9.41,TRUE,FALSE,TRUE,FALSE,Tile,Granite,2024,1490584,0.67,9,Semi-urban,23891000
Kandy,Katugastota,11,4,3,113,0,FALSE,TRUE,Well,Single phase,1,1986,14764993,Kandy,House,2070,40,Needs renovation,Unfurnished,12,1.28,0.64,TRUE,FALSE,FALSE,TRUE,Asbestos,Terrazzo,2025,1342272,0.75,4,Urban,23605000
Jaffna,Kokuvil,28,6,5,186,3,FALSE,FALSE,Well,Three phase,3,1991,28494539,Jaffna,House,3520,35,Needs renovation,Fully furnished,20,0.71,0.76,FALSE,FALSE,TRUE,FALSE,Concrete slab,Tile,2025,1017662,0.83,7,Urban,51457000
Ampara,Ampara Central,5,1,1,35,1,TRUE,TRUE,Well,Single phase,1,1998,5355882,Ampara,House,900,28,Needs renovation,Unfurnished,15,7.2,6.46,FALSE,FALSE,FALSE,TRUE,Tile,Cement,2026,1071176,1,5,Rural,7079000
Mullaitivu,Mullaitivu Central,8,2,1,101,0,FALSE,FALSE,Pipe-borne,Single phase,2,2002,7757494,Mullaitivu,House,1470,24,Average,Fully furnished,25,4.56,6.82,TRUE,FALSE,TRUE,TRUE,Concrete slab,Cement,2026,969687,0.5,5,Rural,17637000
Hambantota,Hambantota Town,3,1,1,35,1,TRUE,FALSE,Both,Three phase,2,2006,4176291,Hambantota,House,980,20,Average,Unfurnished,12,1.72,7.06,FALSE,FALSE,FALSE,FALSE,Tile,Granite,2024,1392097,1,3,Semi-urban,10892000
Colombo,Nugegoda,12,5,4,148,1,TRUE,TRUE,Both,Single phase,1,1988,38932429,Colombo,House,2570,38,Needs renovation,Semi furnished,25,0.11,3.69,TRUE,FALSE,FALSE,TRUE,Asbestos,Tile,2025,3244369,0.8,7,Urban,48048000
Gampaha,Ragama,21,7,5,250,1,TRUE,FALSE,Well,Three phase,2,2006,46740937,Gampaha,Villa,3530,20,Average,Unfurnished,12,2.45,1.35,FALSE,FALSE,FALSE,TRUE,Concrete slab,Granite,2026,2225759,0.71,4,Urban,69054000
Gampaha,Ragama,12,6,5,92,0,TRUE,TRUE,Well,Three phase,1,1985,18227242,Gampaha,House,2900,41,Needs renovation,Unfurnished,15,1.29,0.38,TRUE,FALSE,FALSE,TRUE,Concrete slab,Cement,2025,1518937,0.83,6,Urban,30546000
Badulla,Badulla Town,5,1,1,68,1,FALSE,FALSE,Pipe-borne,Three phase,1,2017,6156618,Badulla,House,760,9,Good,Fully furnished,15,4.41,3.92,TRUE,FALSE,TRUE,FALSE,Asbestos,Cement,2025,1231324,1,6,Semi-urban,13927000
Ratnapura,Ratnapura Town,12,4,4,85,0,TRUE,FALSE,Well,Single phase,1,2024,12790026,Ratnapura,House,2190,2,New,Unfurnished,15,0.68,1.75,FALSE,FALSE,FALSE,FALSE,Concrete slab,Wood,2023,1065836,1,1,Semi-urban,36065000
Mullaitivu,Mullaitivu Central,14,6,5,143,2,FALSE,FALSE,Pipe-borne,Three phase,1,1996,13083696,Mullaitivu,House,3000,30,Needs renovation,Fully furnished,12,3.75,3.49,TRUE,FALSE,TRUE,FALSE,Tile,Cement,2024,934550,0.83,7,Rural,27343000
Ratnapura,Ratnapura Town,17,7,5,220,1,FALSE,FALSE,Both,Single phase,3,2016,28512561,Ratnapura,House,3680,10,Good,Unfurnished,10,1.7,11.04,TRUE,TRUE,TRUE,TRUE,Concrete slab,Tile,2026,1677209,0.71,4,Semi-urban,51120000
Gampaha,Wattala,12,3,2,148,2,FALSE,FALSE,Pipe-borne,Three phase,1,2002,21696642,Gampaha,House,1880,24,Average,Unfurnished,30,2.47,1.64,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2026,1808054,0.67,4,Urban,35748000
Matara,Weligama,3,3,2,35,0,FALSE,FALSE,Well,Three phase,2,1988,4636037,Matara,House,1450,38,Needs renovation,Unfurnished,20,0.81,4.89,TRUE,FALSE,FALSE,FALSE,Asbestos,Cement,2023,1545346,0.67,2,Urban,10013000
Hambantota,Hambantota Town,18,6,5,122,3,FALSE,FALSE,Pipe-borne,Three phase,2,2000,17869627,Hambantota,House,3380,26,Needs renovation,Unfurnished,12,1.6,3.09,TRUE,FALSE,FALSE,TRUE,Asbestos,Tile,2023,992757,0.83,6,Semi-urban,36504000
Trincomalee,Nilaveli,6,4,4,45,0,TRUE,TRUE,Both,Three phase,1,2009,7503058,Trincomalee,House,1710,17,Average,Unfurnished,12,4.16,1.99,TRUE,FALSE,TRUE,FALSE,Concrete slab,Granite,2026,1250510,1,6,Semi-urban,19028000
Kandy,Kandy City,4,2,2,40,3,TRUE,TRUE,Pipe-borne,Single phase,1,2013,8959184,Kandy,House,1300,13,Average,Unfurnished,20,0.81,4.38,TRUE,TRUE,FALSE,TRUE,Concrete slab,Tile,2025,2239796,1,8,Urban,20820000
Anuradhapura,Nuwaragam Palatha,2,2,1,35,0,FALSE,FALSE,Pipe-borne,Three phase,1,2019,3820782,Anuradhapura,House,1040,7,Good,Semi furnished,15,4.45,1.15,TRUE,FALSE,FALSE,FALSE,Asbestos,Tile,2026,1910391,0.5,3,Semi-urban,11433000
Trincomalee,Uppuveli,10,2,2,167,1,FALSE,FALSE,Both,Single phase,2,1995,12705293,Trincomalee,House,1580,31,Needs renovation,Semi furnished,12,3.6,11.37,TRUE,FALSE,TRUE,FALSE,Asbestos,Cement,2025,1270529,1,4,Semi-urban,17012000
Gampaha,Gampaha Town,14,7,5,114,2,TRUE,TRUE,Both,Single phase,2,1997,28228646,Gampaha,House,3180,29,Needs renovation,Semi furnished,25,1.28,0.67,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2026,2016332,0.71,7,Urban,44774000
Mullaitivu,Mullaitivu Central,18,6,5,198,3,TRUE,TRUE,Pipe-borne,Three phase,3,1997,19824059,Mullaitivu,Villa,3520,29,Needs renovation,Unfurnished,30,7.75,13.47,TRUE,FALSE,TRUE,FALSE,Concrete slab,Terrazzo,2024,1101337,0.83,9,Rural,31789000
Kandy,Kandy City,20,7,5,250,1,FALSE,TRUE,Both,Three phase,2,2020,54162750,Kandy,Villa,3700,6,Good,Fully furnished,12,1.06,1.11,FALSE,FALSE,FALSE,FALSE,Concrete slab,Terrazzo,2025,2708138,0.71,6,Urban,91602000
Vavuniya,Vavuniya Central,5,1,1,49,0,FALSE,TRUE,Well,Three phase,2,2003,5222212,Vavuniya,House,840,23,Average,Unfurnished,15,3.04,17.11,TRUE,FALSE,TRUE,FALSE,Tile,Granite,2025,1044442,1,5,Rural,8570000
Vavuniya,Vavuniya Central,9,4,4,68,0,TRUE,FALSE,Pipe-borne,Three phase,2,2006,7889488,Vavuniya,House,2050,20,Average,Semi furnished,25,7.49,4.87,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2023,876610,1,4,Rural,19764000
Colombo,Wellawatte,6,4,3,73,0,TRUE,TRUE,Pipe-borne,Three phase,2,2018,18529601,Colombo,House,1850,8,Good,Semi furnished,15,1.24,3.93,TRUE,FALSE,FALSE,TRUE,Concrete slab,Tile,2025,3088267,0.75,7,Urban,64267000
Batticaloa,Eravur,3,2,2,39,1,FALSE,TRUE,Both,Three phase,2,2012,5070758,Batticaloa,House,1120,14,Average,Unfurnished,10,7.85,10.25,FALSE,FALSE,FALSE,FALSE,Concrete slab,Cement,2023,1690253,1,4,Rural,11652000
Nuwara Eliya,Nuwara Eliya Central,7,4,3,72,2,TRUE,TRUE,Both,Three phase,2,2009,20726324,Nuwara Eliya,House,2220,17,Average,Semi furnished,15,2.13,11.94,TRUE,FALSE,TRUE,FALSE,Concrete slab,Cement,2026,2960903,0.75,9,Semi-urban,37489000
Kegalle,Kegalle Central,15,6,5,131,2,TRUE,FALSE,Well,Single phase,1,2020,14750535,Kegalle,Villa,3030,6,Good,Unfurnished,12,2.57,10.1,TRUE,TRUE,FALSE,FALSE,Concrete slab,Tile,2026,983369,0.83,4,Semi-urban,39584000
Colombo,Borella,13,4,3,157,1,FALSE,FALSE,Pipe-borne,Single phase,2,1995,38194982,Colombo,House,2210,31,Needs renovation,Unfurnished,20,0.32,0.66,FALSE,FALSE,FALSE,FALSE,Concrete slab,Cement,2024,2938076,0.75,1,Urban,114034000
Mullaitivu,Mullaitivu Central,4,2,2,72,1,TRUE,TRUE,Pipe-borne,Three phase,1,1986,3939068,Mullaitivu,House,1210,40,Needs renovation,Unfurnished,15,6.91,19.46,TRUE,FALSE,TRUE,FALSE,Asbestos,Tile,2024,984767,1,7,Rural,6375000
Matara,Weligama,3,3,2,44,1,FALSE,FALSE,Well,Single phase,1,1993,4573964,Matara,House,1340,33,Needs renovation,Unfurnished,30,2.04,4.26,FALSE,FALSE,FALSE,TRUE,Tile,Cement,2026,1524655,0.67,2,Urban,9400000
Matara,Weligama,13,4,4,109,3,TRUE,FALSE,Both,Three phase,1,2025,16206965,Matara,House,2300,1,New,Unfurnished,12,0.94,1.07,TRUE,TRUE,FALSE,FALSE,Concrete slab,Tile,2023,1246690,1,6,Urban,44535000
Kurunegala,Melsiripura,27,7,5,250,3,TRUE,TRUE,Well,Three phase,3,1990,31889939,Kurunegala,Bungalow,3770,36,Needs renovation,Unfurnished,12,1.96,2.92,TRUE,TRUE,TRUE,FALSE,Tile,Cement,2024,1181109,0.71,9,Urban,50078000
Batticaloa,Batticaloa Town,15,6,5,156,2,TRUE,TRUE,Both,Three phase,2,2004,23175062,Batticaloa,House,3040,22,Average,Semi furnished,15,2.33,14.53,TRUE,TRUE,TRUE,FALSE,Concrete slab,Granite,2023,1545004,0.83,9,Rural,42621000
Anuradhapura,Madawachchiya,13,7,5,140,3,TRUE,TRUE,Pipe-borne,Three phase,1,2002,19200115,Anuradhapura,House,3110,24,Average,Unfurnished,15,1.95,2.32,TRUE,TRUE,TRUE,FALSE,Concrete slab,Tile,2025,1476932,0.71,9,Semi-urban,38845000
Ratnapura,Kuruwita,5,1,1,35,1,TRUE,FALSE,Well,Three phase,1,1998,4255348,Ratnapura,House,670,28,Needs renovation,Semi furnished,12,2.8,1.86,TRUE,FALSE,TRUE,FALSE,Tile,Terrazzo,2024,851070,1,6,Semi-urban,8251000
Ampara,Ampara Central,12,3,3,107,1,TRUE,TRUE,Well,Three phase,1,1998,10214783,Ampara,House,1900,28,Needs renovation,Unfurnished,25,8.4,4.5,TRUE,FALSE,TRUE,FALSE,Asbestos,Cement,2024,851232,1,7,Rural,15452000
Hambantota,Tangalle,13,6,5,122,1,FALSE,TRUE,Both,Single phase,1,1996,14241930,Hambantota,House,2760,30,Needs renovation,Fully furnished,12,3.67,6.84,TRUE,FALSE,FALSE,FALSE,Asbestos,Cement,2023,1095533,0.83,6,Semi-urban,32922000
Matale,Matale Central,23,6,5,157,3,TRUE,FALSE,Well,Single phase,1,1989,21234026,Matale,Villa,3020,37,Needs renovation,Unfurnished,20,3.78,2.95,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2026,923219,0.83,5,Semi-urban,32156000
